,date_crawled,name,price,ab_test,vehicle_type,registration_year,gear_box,power_ps,model,odometer_km,registration_month,fuel_type,brand,unrepaired_damage,ad_created,postal_code,last_seen,odometer_km_group
11,2016-03-25 10:38:00,VW_Passat_Pacific_2.0l_116_PS_Kombi/Klima,500.0,test,kombi,1996.0,Manual,116.0,passat,150000,10.0,petrol,volkswagen,No,2016-03-25,71034.0,2016-03-25 10:38:00,"150,000 Km"
12,2016-03-20 16:47:00,Suzuki_Swift_1.2_Comfort,8399.0,test,kleinwagen,2011.0,Manual,94.0,swift,80000,7.0,petrol,suzuki,No,2016-03-20,33775.0,2016-06-04 22:16:00,"100,000 Km"
13,2016-03-22 21:54:00,Volkswagen_Touran_2.0_TDI_Highline_!!!_FESTPREIS_!!!,3500.0,control,bus,2004.0,Manual,140.0,touran,150000,7.0,diesel,volkswagen,No,2016-03-22,83483.0,2016-02-04 17:46:00,"150,000 Km"
14,2016-03-21 18:57:00,Opel_Astra_1.9_CDTI_Caravan,5000.0,test,kombi,2005.0,Manual,120.0,astra,150000,9.0,diesel,opel,No,2016-03-21,83349.0,2016-01-04 01:17:00,"150,000 Km"
15,2016-12-03 20:06:00,Honda_2.0_comfort,6000.0,control,bus,2005.0,Manual,150.0,andere,150000,4.0,petrol,honda,No,2016-12-03,55130.0,2016-07-04 12:45:00,"150,000 Km"
16,2016-11-03 23:40:00,Suche_Kombi_Benziner_bis_1500_Euro,1500.0,test,UnKnown,2000.0,UnKnown,0.0,UnKnown,150000,0.0,unknown,sonstige_autos,UnKnown,2016-11-03,59075.0,2016-12-03 14:16:00,"150,000 Km"
17,2016-03-30 12:56:00,Mercedes_Benz_A_160_Avantgarde_Klima__Teilleder__8x_ALU,2700.0,control,limousine,2004.0,Manual,102.0,a_klasse,150000,4.0,petrol,mercedes_benz,No,2016-03-30,96465.0,2016-01-04 07:17:00,"150,000 Km"
18,2016-03-15 10:56:00,Volkswagen_Golf_Cabrio,3999.0,control,cabrio,1993.0,Manual,98.0,golf,150000,4.0,petrol,volkswagen,No,2016-03-15,93197.0,2016-05-04 19:47:00,"150,000 Km"
19,2016-03-21 15:53:00,320_d_Vollaustung,2200.0,control,limousine,2002.0,Manual,150.0,3er,150000,1.0,diesel,bmw,UnKnown,2016-03-21,32547.0,2016-03-21 15:53:00,"150,000 Km"
20,2016-03-31 23:37:00,Volkswagen_New_Beetle_2.0,4900.0,control,limousine,2000.0,Manual,116.0,beetle,125000,11.0,petrol,volkswagen,No,2016-03-31,64839.0,2016-07-04 02:44:00,"150,000 Km"
21,2016-10-03 16:48:00,VOLKSWAGEN_GOLF_V_5_1.9_TDI_DPF_UNITED_ALU_RADIO_SHADOW_BLUE_VW,7399.0,control,limousine,2008.0,Manual,105.0,golf,150000,1.0,diesel,volkswagen,No,2016-10-03,64331.0,2016-12-03 07:15:00,"150,000 Km"
22,2016-03-22 15:58:00,A4_Avant_2_0_TDI_DPF_Multitronic,3700.0,control,kombi,2006.0,Automatic,140.0,a4,150000,2.0,diesel,audi,UnKnown,2016-03-22,10318.0,2016-03-22 15:58:00,"150,000 Km"
23,2016-03-04 23:50:00,Seat_Alhambra_2.0_TDI_Ecomotive_Style_Salsa_Navi_7_Sitzer__140_PS,24400.0,control,bus,2013.0,Manual,140.0,alhambra,30000,12.0,diesel,seat,No,2016-03-04,93444.0,2016-06-04 07:16:00,"50,000 Km"
24,2016-12-03 10:37:00,Volkswagen_Passat_2.0,6000.0,control,limousine,2004.0,Manual,116.0,passat,90000,7.0,petrol,volkswagen,No,2016-12-03,76571.0,2016-03-20 07:19:00,"100,000 Km"
25,2016-08-03 20:55:00,Mercedes_Benz_B_200_BlueEFFICIENCY,21500.0,control,bus,2012.0,Automatic,156.0,b_klasse,20000,10.0,petrol,mercedes_benz,No,2016-08-03,70469.0,2016-03-04 22:16:00,"50,000 Km"
26,2016-10-03 04:36:00,Audi__A1_Sportback_Ambition,16400.0,control,limousine,2014.0,Manual,122.0,a1,20000,9.0,petrol,audi,No,2016-10-03,85055.0,2016-03-31 12:15:00,"50,000 Km"
27,2016-03-28 14:40:00,Ford_Focus_Turnier_1.6_TDCi_DPF_Start_Stopp_System_Tr,7900.0,test,kombi,2011.0,Manual,116.0,focus,125000,7.0,diesel,ford,No,2016-03-28,44141.0,2016-06-04 18:19:00,"150,000 Km"
28,2016-02-04 14:49:00,Smart_Roadster_Cabrio_NEU_TÜV_Motor_Garantie,5000.0,test,cabrio,2003.0,Manual,61.0,roadster,90000,11.0,petrol,smart,No,2016-02-04,42499.0,2016-06-04 13:17:00,"100,000 Km"
30,2016-11-03 18:36:00,Audi_a6_c4_quattro_TÜV_neu,2777.0,test,limousine,1995.0,Automatic,150.0,a6,150000,4.0,unknown,audi,No,2016-11-03,16816.0,2016-05-04 19:46:00,"150,000 Km"
31,2016-03-29 16:45:00,BMW_3er_SPORTPAKET,4500.0,control,cabrio,2002.0,Manual,170.0,3er,150000,7.0,petrol,bmw,UnKnown,2016-03-29,52499.0,2016-02-04 04:16:00,"150,000 Km"
32,2016-03-19 16:42:00,VW_t4_zu_verkaufen,850.0,test,bus,1994.0,Manual,60.0,transporter,30000,4.0,diesel,volkswagen,UnKnown,2016-03-19,94315.0,2016-03-21 21:48:00,"50,000 Km"
33,2016-03-17 13:50:00,BMW_525d_Aut.,22500.0,control,limousine,2010.0,Automatic,204.0,5er,150000,10.0,diesel,bmw,No,2016-03-17,78333.0,2016-03-27 01:17:00,"150,000 Km"
34,2016-12-03 17:52:00,Skoda_Superb_2.0_TDI_Elegance,9800.0,test,limousine,2008.0,Manual,170.0,superb,150000,9.0,diesel,skoda,No,2016-12-03,59199.0,2016-07-04 10:16:00,"150,000 Km"
35,2016-03-04 18:38:00,Audi_A6_quattro,2150.0,control,limousine,1998.0,Manual,193.0,UnKnown,150000,0.0,petrol,audi,Yes,2016-03-04,66333.0,2016-05-04 18:46:00,"150,000 Km"
36,2016-03-19 15:37:00,OPEL_Agila_Comfort_1_0___5_Gang___Royalblau,650.0,control,kleinwagen,2002.0,Manual,58.0,agila,150000,12.0,petrol,opel,No,2016-03-19,21702.0,2016-03-19 15:37:00,"150,000 Km"
37,2016-03-31 19:38:00,Volkswagen_Passat_Variant_2.3_V5,4499.0,control,kombi,2001.0,Manual,170.0,passat,150000,5.0,petrol,volkswagen,No,2016-03-31,97980.0,2016-06-04 13:45:00,"150,000 Km"
38,2016-03-24 14:38:00,Top_Auto_zum_kleinen_Preis,1500.0,test,limousine,1994.0,Manual,0.0,UnKnown,5000,8.0,petrol,toyota,No,2016-03-24,38364.0,2016-03-28 23:17:00,"50,000 Km"
39,2016-03-19 20:57:00,Ford_Fiesta_2.0_ST_mit_1_Jahr_und_5_Monate_TÜV,2800.0,control,kleinwagen,2006.0,Manual,150.0,fiesta,150000,3.0,petrol,ford,No,2016-03-19,21706.0,2016-03-27 14:17:00,"150,000 Km"
40,2016-01-04 22:55:00,Opel_Corsa_c____2_Jahre_TÜV_,1350.0,test,limousine,2001.0,Manual,0.0,corsa,125000,12.0,petrol,opel,No,2016-01-04,32425.0,2016-03-04 21:16:00,"150,000 Km"
41,2016-03-18 20:39:00,Lupo_teile_Verkauf,850.0,test,kleinwagen,1999.0,Manual,50.0,lupo,150000,5.0,petrol,volkswagen,Yes,2016-03-18,30880.0,2016-05-04 22:47:00,"150,000 Km"
42,2016-03-28 19:48:00,Merzedes_A_klasse_160,500.0,control,kleinwagen,1998.0,Manual,0.0,a_klasse,150000,4.0,petrol,mercedes_benz,Yes,2016-03-28,79589.0,2016-07-04 02:16:00,"150,000 Km"
44,2016-03-14 16:48:00,Smart_fortwo_1.Hand__Top_Zustand__Einzelstueck_!!,4499.0,test,kleinwagen,2005.0,Automatic,60.0,fortwo,70000,10.0,petrol,smart,No,2016-03-14,13053.0,2016-03-21 06:44:00,"100,000 Km"
45,2016-03-30 12:41:00,VW_Golf_2_gl_kein_gti_Volkswagen_Golf_tuning_an_Bastler,600.0,control,UnKnown,2016.0,Manual,90.0,UnKnown,150000,7.0,petrol,volkswagen,Yes,2016-03-30,89420.0,2016-07-04 03:15:00,"150,000 Km"
46,2016-02-04 12:36:00,Vw_passat_1.8_5v_turbo,5200.0,test,kombi,2000.0,UnKnown,153.0,passat,150000,12.0,unknown,volkswagen,No,2016-02-04,55483.0,2016-06-04 11:45:00,"150,000 Km"
48,2016-03-24 20:37:00,BMW_E36_Compact_Sondermodell_aus_1_Hand,2200.0,test,limousine,1998.0,Manual,102.0,3er,150000,11.0,petrol,bmw,No,2016-03-24,99974.0,2016-05-04 13:16:00,"150,000 Km"
49,2016-03-16 20:42:00,Opel_Corsa_1.2_16V,2400.0,control,kleinwagen,2004.0,Manual,75.0,corsa,80000,1.0,petrol,opel,No,2016-03-16,71334.0,2016-03-22 01:17:00,"100,000 Km"
50,2016-03-15 22:54:00,Sehr_schoener_Ford_Streetka_Summerfeeling_Pur...;__,2999.0,control,cabrio,2004.0,Manual,90.0,ka,125000,3.0,petrol,ford,No,2016-03-15,25813.0,2016-03-21 05:47:00,"150,000 Km"
51,2016-08-03 16:49:00,Volkswagen_Golf_1.4,2000.0,test,kleinwagen,2000.0,Manual,75.0,golf,150000,10.0,petrol,volkswagen,No,2016-08-03,68169.0,2016-08-03 23:46:00,"150,000 Km"
52,2016-03-20 12:36:00,Golf_4_1_9_Tdi,1500.0,test,kleinwagen,1999.0,Manual,90.0,golf,150000,4.0,diesel,volkswagen,UnKnown,2016-03-20,71543.0,2016-03-22 19:17:00,"150,000 Km"
53,2016-03-15 09:52:00,BMW_316_i_Klima_PDC_Scheckheft_usw,2650.0,control,limousine,2001.0,Manual,105.0,3er,150000,7.0,petrol,bmw,No,2016-03-15,14513.0,2016-03-16 09:43:00,"150,000 Km"
54,2016-04-04 18:55:00,Skoda_Fabia_1.4_16V_Combi_Excellent,1690.0,test,kombi,2003.0,Manual,75.0,fabia,150000,6.0,petrol,skoda,No,2016-04-04,35094.0,2016-06-04 21:16:00,"150,000 Km"
55,2016-03-21 01:00:00,Ford_Tuev_und_Zahnriemen_neu,1600.0,test,limousine,1999.0,Manual,75.0,focus,150000,8.0,petrol,ford,No,2016-03-20,31600.0,2016-03-23 18:18:00,"150,000 Km"
56,2016-03-15 05:36:00,Peugeot_Bipper_HDi_70,3900.0,control,bus,2009.0,Manual,68.0,andere,125000,8.0,diesel,peugeot,No,2016-03-15,47169.0,2016-03-23 14:46:00,"150,000 Km"
57,2016-03-20 14:37:00,BMW_525i_touring_Edition_Sport_M_Technik,6000.0,test,kombi,2002.0,Manual,192.0,5er,150000,6.0,petrol,bmw,No,2016-03-20,57614.0,2016-04-04 21:16:00,"150,000 Km"
58,2016-03-17 21:47:00,Unfall_Polo_9N,500.0,test,kleinwagen,2004.0,Manual,75.0,polo,60000,9.0,petrol,volkswagen,Yes,2016-03-17,55270.0,2016-03-19 22:17:00,"100,000 Km"
59,2016-03-04 11:38:00,Porsche_Boxster_S,38000.0,control,cabrio,2008.0,UnKnown,295.0,boxster,30000,2.0,petrol,porsche,No,2016-03-04,63486.0,2016-07-04 12:44:00,"50,000 Km"
60,2016-03-24 10:56:00,Nissan_Almera_1.5,2700.0,test,limousine,2003.0,Manual,90.0,almera,125000,6.0,petrol,nissan,No,2016-03-24,33609.0,2016-03-30 11:18:00,"150,000 Km"
61,2016-03-16 13:57:00,GOLF_V_1.9_TDI_DPF_Goal__105PS__Blue,3500.0,control,limousine,2007.0,Manual,105.0,golf,150000,5.0,diesel,volkswagen,No,2016-03-16,23714.0,2016-03-16 14:43:00,"150,000 Km"
62,2016-03-28 21:51:00,Fiat_Seicento_1.1_Hobby__74Tkm__TÜV_NEU,1290.0,control,kleinwagen,1999.0,Manual,54.0,seicento,80000,6.0,petrol,fiat,No,2016-03-28,1445.0,2016-07-04 04:45:00,"100,000 Km"
63,2016-03-04 10:53:00,Audi_A4_Avant_2.0_Tdi,6500.0,control,kombi,2007.0,Manual,140.0,a4,150000,12.0,diesel,audi,No,2016-03-04,47608.0,2016-07-04 11:46:00,"150,000 Km"
64,2016-03-25 19:36:00,Citroen_C1_5_Tuerer_mit_Klimaanlage,4200.0,test,kleinwagen,2008.0,Manual,68.0,c1,70000,10.0,petrol,citroen,No,2016-03-25,40789.0,2016-03-27 08:45:00,"100,000 Km"
65,2016-03-14 10:41:00,Renault_Laguna_Grandtour_dCi_150_FAP_Aut._Dynamique,9450.0,control,kombi,2010.0,Automatic,150.0,laguna,100000,2.0,diesel,renault,No,2016-03-14,84524.0,2016-07-04 10:44:00,"100,000 Km"
66,2016-03-31 10:55:00,SANDERO_1.4_MPI_nur_20200_gelaufen,5100.0,control,kleinwagen,2009.0,Manual,75.0,sandero,30000,11.0,petrol,dacia,Yes,2016-03-31,12351.0,2016-06-04 04:16:00,"50,000 Km"
67,2016-12-03 00:50:00,Volkswagen_Golf_IV_Variant_TDI_Edition_Anhaengerkupplung,1590.0,test,kombi,2000.0,Manual,115.0,golf,150000,9.0,diesel,volkswagen,UnKnown,2016-11-03,49124.0,2016-12-03 06:45:00,"150,000 Km"
68,2016-03-28 20:49:00,Suzuki_Swift_1.2_X_TRA__SHZ__PDC,13990.0,control,limousine,2015.0,Manual,94.0,swift,5000,11.0,petrol,suzuki,No,2016-03-28,12107.0,2016-07-04 03:44:00,"50,000 Km"
69,2016-04-04 00:58:00,Opel_Meriva_1.4_Style,14500.0,test,bus,2015.0,Manual,101.0,meriva,5000,6.0,petrol,opel,No,2016-03-04,24610.0,2016-06-04 09:16:00,"50,000 Km"
70,2016-03-25 18:47:00,Opel_Corsa_1.2_16V,2650.0,test,kleinwagen,2007.0,Manual,80.0,corsa,150000,11.0,petrol,opel,No,2016-03-25,86672.0,2016-03-27 06:44:00,"150,000 Km"
71,2016-05-04 10:56:00,Schoener_Omega_B_facelift,1399.0,control,limousine,2000.0,Manual,144.0,omega,150000,7.0,petrol,opel,UnKnown,2016-05-04,45739.0,2016-05-04 11:43:00,"150,000 Km"
72,2016-05-04 03:36:00,Fiat_850_Speciale,7100.0,control,cabrio,1971.0,Manual,48.0,andere,90000,7.0,petrol,fiat,No,2016-05-04,68161.0,2016-07-04 11:17:00,"100,000 Km"
73,2016-03-22 10:49:00,Volkswagen_Passat_Variant_2.0_TDI_DPF_Sportline,7900.0,control,kombi,2006.0,Manual,170.0,passat,150000,3.0,diesel,volkswagen,No,2016-03-22,63683.0,2016-05-04 22:44:00,"150,000 Km"
74,2016-03-04 22:55:00,Citroën_DS4_VTi_120_SoChic,14890.0,control,limousine,2012.0,Manual,120.0,andere,40000,4.0,petrol,citroen,No,2016-03-04,33098.0,2016-06-04 01:45:00,"50,000 Km"
75,2016-10-03 12:49:00,Audi_A3_2.0_TDI_Sportback_DPF_Ambition_Navi_XENON_Facelift,17499.0,test,limousine,2012.0,Manual,140.0,a3,70000,8.0,diesel,audi,No,2016-10-03,31688.0,2016-07-04 06:45:00,"100,000 Km"
76,2016-11-03 10:52:00,Opel_Zafira_2.2_16V_Edition_2000,3500.0,test,bus,2001.0,Manual,147.0,zafira,150000,2.0,petrol,opel,No,2016-11-03,25842.0,2016-07-04 01:45:00,"150,000 Km"
77,2016-03-17 01:37:00,Fiat_Punto_Evo_1.4_16V_Multiair_Turbo_Sport_Start...,7950.0,test,kleinwagen,2011.0,Manual,135.0,punto,50000,1.0,petrol,fiat,No,2016-03-17,85667.0,2016-02-04 00:46:00,"50,000 Km"
78,2016-03-04 09:54:00,Verkaufe_Peugeot_306,750.0,control,limousine,1997.0,Manual,90.0,3_reihe,150000,10.0,petrol,peugeot,UnKnown,2016-03-04,66663.0,2016-05-04 08:16:00,"150,000 Km"
79,2016-05-03 17:48:00,BMW_316i_touring_mit_Car_Pass,3695.0,test,kombi,2002.0,Manual,116.0,3er,150000,8.0,petrol,bmw,No,2016-05-03,52078.0,2016-03-17 23:18:00,"150,000 Km"
81,2016-03-20 23:44:00,Volkswagen_Golf_1.8_CL__nur_74000_km_!!!,500.0,control,limousine,1995.0,Manual,90.0,golf,80000,9.0,petrol,volkswagen,No,2016-03-20,18146.0,2016-03-23 10:17:00,"100,000 Km"
82,2016-03-19 20:57:00,Mercedes_Benz_C_180_Kompressor_Elegance,5350.0,control,limousine,2003.0,Automatic,143.0,c_klasse,100000,1.0,petrol,mercedes_benz,No,2016-03-19,51645.0,2016-03-04 09:47:00,"100,000 Km"
83,2016-05-03 14:53:00,Chrysler_Stratus_2.0_LX,800.0,control,limousine,1998.0,Manual,133.0,andere,150000,6.0,petrol,chrysler,No,2016-05-03,45891.0,2016-07-04 10:46:00,"150,000 Km"
84,2016-11-03 06:39:00,Fiat_Panda_1.4_100_HP__TÜV_NEU,4450.0,test,kleinwagen,2007.0,Manual,99.0,panda,125000,9.0,petrol,fiat,No,2016-10-03,35614.0,2016-07-04 14:57:00,"150,000 Km"
85,2016-04-04 20:30:00,Mazda_2_1.3_Sport__Top_Zustand__mit_Winterreifen,4999.0,test,kleinwagen,2009.0,Manual,86.0,andere,90000,4.0,petrol,mazda,No,2016-04-04,35781.0,2016-07-04 09:44:00,"100,000 Km"
86,2016-03-14 15:46:00,Volkswagen_Passat_2.0_TDI_DPF_DSG,6500.0,control,limousine,2007.0,Automatic,140.0,passat,150000,10.0,diesel,volkswagen,No,2016-03-14,22113.0,2016-03-24 23:45:00,"150,000 Km"
87,2016-03-25 00:44:00,Volkswagen_Polo_Edition,2350.0,control,kleinwagen,2001.0,Manual,50.0,polo,70000,3.0,petrol,volkswagen,No,2016-03-24,47589.0,2016-03-29 13:46:00,"100,000 Km"
88,2016-03-27 20:36:00,Audi_A3_1.8_TFSI_Limousine_S_tronic_Ambition,25900.0,control,limousine,2013.0,Automatic,179.0,a3,30000,7.0,petrol,audi,No,2016-03-27,83684.0,2016-05-04 20:46:00,"50,000 Km"
89,2016-02-04 18:41:00,Volkswagen_Sharan_2.0_TDI_BlueMotion_Technology_Life,25900.0,control,bus,2013.0,Manual,140.0,sharan,40000,3.0,diesel,volkswagen,No,2016-02-04,38108.0,2016-06-04 18:17:00,"50,000 Km"
91,2016-04-04 09:57:00,Mercedes_Benz_C_180_T_CDI_DPF__BlueEFFIC_Standheizung_AHK_Gara,19900.0,control,kombi,2012.0,Automatic,120.0,c_klasse,70000,4.0,diesel,mercedes_benz,No,2016-04-04,85290.0,2016-06-04 11:17:00,"100,000 Km"
92,2016-10-03 13:53:00,Super_zuverlaessiger_Stadtflitzer,1900.0,test,UnKnown,2005.0,Manual,60.0,punto,125000,12.0,petrol,fiat,No,2016-10-03,63329.0,2016-06-04 03:46:00,"150,000 Km"
93,2016-03-28 20:47:00,Audi_A8_2.8,3500.0,control,limousine,2000.0,Manual,193.0,a8,150000,6.0,petrol,audi,No,2016-03-28,38106.0,2016-07-04 03:17:00,"150,000 Km"
95,2016-03-24 21:57:00,Ford_Focus_1.0_Titanium__XENON_LEDER_SONY,14900.0,test,limousine,2013.0,Manual,125.0,focus,60000,1.0,petrol,ford,No,2016-03-24,94559.0,2016-05-04 18:46:00,"100,000 Km"
97,2016-01-04 19:37:00,E36_325_cabrio_ideal_fuer_umbau!!!,600.0,control,cabrio,1993.0,Manual,192.0,UnKnown,150000,11.0,petrol,bmw,No,2016-01-04,13509.0,2016-03-04 16:17:00,"150,000 Km"
98,2016-06-03 14:36:00,Hyundai_Accent_1.4_GL,2150.0,control,limousine,2007.0,Manual,97.0,andere,125000,9.0,petrol,hyundai,No,2016-06-03,95030.0,2016-06-03 14:36:00,"150,000 Km"
99,2016-07-03 00:36:00,Opel_Zafira_sehr_gepflegt_und_wenig_gefahren,4500.0,test,bus,2003.0,Automatic,125.0,zafira,60000,3.0,petrol,opel,No,2016-07-03,35510.0,2016-08-03 19:31:00,"100,000 Km"
100,2016-03-25 12:45:00,Trabant_601_Hycomat_Behindertengerecht,595.0,test,kombi,1987.0,UnKnown,26.0,601,60000,10.0,petrol,trabant,No,2016-03-25,6268.0,2016-06-04 13:45:00,"100,000 Km"
101,2016-03-22 19:44:00,Alfa_Romeo_156_2.5_V6_192Ps_Vollausstatung_mit_Tuev_bis_April_2017,1700.0,test,limousine,2001.0,Manual,192.0,156,150000,7.0,petrol,alfa_romeo,No,2016-03-22,45892.0,2016-02-04 13:47:00,"150,000 Km"
102,2016-05-04 12:36:00,Mercedes_Benz_C_180_Sportcoupe,2800.0,test,coupe,2001.0,Manual,129.0,c_klasse,150000,10.0,petrol,mercedes_benz,No,2016-05-04,41068.0,2016-05-04 12:36:00,"150,000 Km"
103,2016-03-15 17:50:00,Fiat_Barchetta_1.8_16V,800.0,control,cabrio,1996.0,Manual,131.0,andere,150000,4.0,petrol,fiat,Yes,2016-03-15,69190.0,2016-03-15 17:50:00,"150,000 Km"
104,2016-11-03 17:48:00,Opel_Astra_1.6_Turbo_Innovation,9900.0,control,limousine,2010.0,Manual,179.0,astra,125000,10.0,petrol,opel,No,2016-11-03,41836.0,2016-03-17 03:46:00,"150,000 Km"
105,2016-11-03 09:53:00,Mini_Cooper_S_*92800KM*,7100.0,control,UnKnown,2016.0,Manual,163.0,cooper,100000,7.0,petrol,mini,UnKnown,2016-11-03,71116.0,2016-06-04 23:45:00,"100,000 Km"
106,2016-03-14 15:52:00,VW_T4_2_5tdi_LKW__gruene_Plakette,5200.0,control,bus,2003.0,Manual,102.0,transporter,150000,0.0,diesel,volkswagen,No,2016-03-14,23974.0,2016-03-15 10:45:00,"150,000 Km"
108,2016-10-03 17:54:00,Mercedes_Benz_B150_AUTOMATIK___Klima_Einparkhilfe_Sitzheizung,10490.0,control,bus,2007.0,Automatic,95.0,b_klasse,50000,6.0,petrol,mercedes_benz,No,2016-10-03,38104.0,2016-05-04 19:46:00,"50,000 Km"
109,2016-03-25 17:43:00,BMW_316i_Autogas__LPG____Super_Zustand,3000.0,test,kombi,2004.0,Manual,118.0,3er,150000,4.0,lpg,bmw,No,2016-03-25,27616.0,2016-06-04 22:45:00,"150,000 Km"
110,2016-03-23 19:48:00,Golf_3_..k,550.0,control,kleinwagen,1995.0,Manual,55.0,UnKnown,5000,1.0,petrol,volkswagen,UnKnown,2016-03-23,45309.0,2016-06-04 01:15:00,"50,000 Km"
112,2016-12-03 10:59:00,Avensis_Combi_2.0_D_4D_5_Gang_Polarsilber_metallic,6900.0,control,kombi,2006.0,Manual,116.0,avensis,125000,4.0,diesel,toyota,Yes,2016-12-03,88662.0,2016-03-20 09:15:00,"150,000 Km"
113,2016-03-31 20:54:00,VW_LUPO_TÜV_NEU__Alufelgen__Keilriemen_neu__Ölwechsel_mit_Filter,2000.0,test,kleinwagen,1999.0,Manual,50.0,lupo,125000,10.0,petrol,volkswagen,No,2016-03-31,22926.0,2016-06-04 15:46:00,"150,000 Km"
114,2016-03-28 14:48:00,328i_Touring,700.0,test,kombi,1999.0,Manual,193.0,3er,150000,10.0,petrol,bmw,UnKnown,2016-03-28,59823.0,2016-03-28 14:48:00,"150,000 Km"
115,2016-05-04 19:06:00,Audi_a6_2.5_Tdi,1400.0,test,UnKnown,2016.0,UnKnown,0.0,a6,150000,5.0,diesel,audi,No,2016-05-04,57614.0,2016-05-04 19:06:00,"150,000 Km"
116,2016-03-28 17:51:00,Opel_Zafira_1.9_CDTI,4150.0,test,bus,2006.0,Manual,101.0,zafira,150000,8.0,diesel,opel,Yes,2016-03-28,83064.0,2016-03-30 09:18:00,"150,000 Km"
117,2016-03-17 10:57:00,Audi_A3_1.8___TÜV_09/2017_blau_metallic,1950.0,test,kleinwagen,1999.0,Manual,125.0,a3,150000,6.0,petrol,audi,No,2016-03-17,12627.0,2016-03-21 14:17:00,"150,000 Km"
118,2016-03-20 18:49:00,Opel_Astra_1.6_Edition_2000,770.0,test,limousine,2000.0,Manual,75.0,astra,150000,3.0,petrol,opel,Yes,2016-03-20,46238.0,2016-03-20 18:49:00,"150,000 Km"
119,2016-10-03 14:45:00,Nissan_Juke_1.5_dCi_Tekna_Navi,10000.0,test,kleinwagen,2010.0,Manual,110.0,juke,125000,12.0,diesel,nissan,No,2016-10-03,51069.0,2016-07-04 11:46:00,"150,000 Km"
120,2016-03-27 10:57:00,Opel_Combo_1_7_mit_frischem_TÜV_und_LKW_Zulassung,2599.0,control,kombi,2004.0,Manual,75.0,combo,150000,1.0,diesel,opel,No,2016-03-27,1277.0,2016-03-28 23:17:00,"150,000 Km"
121,2016-02-04 19:57:00,Audi_A4__1.9_Diesel,3800.0,control,limousine,2002.0,Manual,131.0,a4,150000,12.0,diesel,audi,UnKnown,2016-02-04,63450.0,2016-06-04 20:17:00,"150,000 Km"
122,2016-03-15 20:37:00,BMW_Z4_3.0_Si___M_Ausstattung___Navi___Leder___286_PS,19999.0,test,cabrio,2006.0,Automatic,286.0,z_reihe,50000,5.0,petrol,bmw,No,2016-03-15,24558.0,2016-03-17 16:47:00,"50,000 Km"
123,2016-03-16 14:45:00,Golf_4_in_Anthrazit_2_Liter,2100.0,test,limousine,2000.0,Manual,115.0,golf,150000,2.0,petrol,volkswagen,UnKnown,2016-03-16,12205.0,2016-03-16 14:45:00,"150,000 Km"
